家居 	 屋顶花园 与 室内 生动 的 空间 关系 ( 图 ) 如今 ， 伴随 着 企业 在 办公 模式 、 管理 方式 ， 内部 组织 结构 的 变化 ， 对 办公 空间 也 提出 了 新 的 要求 。 设计师 认为 办公建筑 更 像是 承载 着 工作人员 活动 的 容器 ， 需要 有 充分 的 流动性 和 适应性 ， 用来 满足 不同 的 功能 的 需要 。 我们 可以 清晰 的 看见 在 空间 处理 上 ， 室内 以 规整 有序 的 建筑 结构 为 三维 框架 ， 在 立体 的 框架 中 设置 不同 的 功能 单元 ( 会议 、 办公 、 接待 等 ) ， 通过 中庭 楼梯 等 多种形式 的 交通 空间 将 其 串联 起来 。 置身 在 办公 空间 内部 的 人们 ， 在 感受 令人 愉悦 的 内部 外部 景观 的 同时 ， 也 能 感受 到 室内外 花园 、 屋顶花园 与 建筑 、 室内 生动 的 空间 关系 。 
 家居 	 直接 更换 家具 和 软装 ( 图 ) 改装 点评 ：   对于 换装 而言 ， 这 是 最 简单 的 方式 ， 就是 直接 更换 家具 和 软装 ， 使 客厅 焕然一新 。 但 从 效果 来看 ， 虽然 减弱 了 原有 的 空白 感 ， 但 并 没有 发生 质 的 改变 ， 且 无形中 造成 了 原有 资源 的 浪费 ， 所以 这种 换装 方式 并 不 值得 推崇 。   
 家居 	 直线 条 的 设计 和 饰品 的 完美 组合 ( 图 ) 直线 条 的 设计 和 饰品 的 完美 组合 ， 处处 体现 了 男性 的 阳刚之气 。 
 家居 	 相框 与 雕刻 的 小 装饰 ( 图 ) 相框 与 雕刻 的 小 装饰 ， 非常 复古 的 味道 。 深色 相框 为 房间 的 色彩 添加 深度 ， 吸引 人 的 眼球 。 
 家居 	 省钱 造 美式 乡村 风 打造 不同 风格 ( 组图 ) 都市生活 是 现代 、 快捷 的 ， 同时 ， 也 是 纷繁 与 忙碌 的 。 现代 都 市里 的 人 越来越 追求 田园 与 乡村 的 闲适 ， 于是乎 ， 家居 风格 中 田园 与 美式 乡村 风格 愈发 走俏 。 美式 乡村 风格 历来 是 对 舒适 、 轻松 的 家居生活 最好 的 解读 ， 其 优雅 浪漫 又 不失 欧式 风格 的 华贵 ， 繁花 浪漫 的 春天 ， 跟 小编 一起 体味 美式 乡村 的 迷人 风情 和 田园 情趣 吧 。 
 家居 	 看 家居饰品 如何 成为 点睛之笔 ( 组图 ) 人 说 ， 家 有没有 品位 ， 关键 要 看 家居饰品 是否 有 情调 。 也许 这样 说 有些 夸张 ， 但 足见 饰品 在 家装 中 的 作用 不容 小觑 。 布置 家 犹如 在 给 房子 穿衣 化妆 ， 有 豪华 的 晚装 、 有 典雅 的 正装 、 有 飘逸 的 时装 , 还有 个性 的 酷装 … … 当然 ， 无论 哪 种 装束 ， 只有 适合 才 是 最好 。 的确 ， 一家 一品 ， 家居饰品 折射 主人 的 品位 ， 也许 还 点滴 透露 着 主人 的 心情 与 心境 。 因而 ， 人们 对 饰品 的 追逐 往往 不是 停留 在 “ 长相 ” 上 的 浅层 次 需求 ， 而 包含 美好 寓意 的 饰品 ， 或许 才能 真正 叩响 她 的 心扉 。 人 说 ， 家 有没有 品位 ， 关键 要 看 家居饰品 是否 有 情调 。 也许 这样 说 有些 夸张 ， 但 足见 饰品 在 家装 中 的 作用 不容 小觑 。 布置 家 犹如 在 给 房子 穿衣 化妆 ， 有 豪华 的 晚装 、 有 典雅 的 正装 、 有 飘逸 的 时装 , 还有 个性 的 酷装 … … 当然 ， 无论 哪 种 装束 ， 只有 适合 才 是 最好 。 的确 ， 一家 一品 ， 家居饰品 折射 主人 的 品位 ， 也许 还 点滴 透露 着 主人 的 心情 与 心境 。 因而 ， 人们 对 饰品 的 追逐 往往 不是 停留 在 “ 长相 ” 上 的 浅层 次 需求 ， 而 包含 美好 寓意 的 饰品 ， 或许 才能 真正 叩响 她 的 心扉 。 
 家居 	 看 新西兰人 打造 木头 房 ( 组图 ) 在 新西兰 ， 可以 看到 很多 这样 的 木头 房 ， 有 纯粹 英式 风格 的 ， 也 有 现代 风格 的 。 这里 的 建筑师 们 能够 把 木头 运用 得 如此 出神入化 ， 实在 了不起 。 比起 那些 千篇一律 的 钢筋水泥 建筑 ， 这样 的 木头 房子 是否 更 温馨 浪漫 呢 ? 虽然 是 木头 做 的 ， 但 非常 牢固 ， 新西兰 建筑 部门 的 规定 ， 木头 房子 也 要 有 100 年 的 建筑 寿命 才 可以 呢 。 当然 ， 木头 房子 最怕 的 就是 火灾 了 。 
 家居 	 看 落地灯 演绎 的 简约 与 个性 ( 组图 ) 一款 时尚 的 落地灯 一定 要 抛开 繁琐 ， 因为 只有 简约 的 风格 才 更 适合 现代 年轻人 ! 温暖 的 色彩 ， 方便 的 操作 ， 个性 的 设计 元素 ， 它 完美 的 诠释 了 简约 与 个性 。 
 家居 	 看起来 就 像 极其 奢华 的 高跟鞋 ( 图 ) 高跟鞋 和 浴缸 有 什么 关系 ? 相信 很多 人 都 不会 想到 。 但是 意大利 SICIS 艺术 工厂 的 设计师 们 就 很 大胆 地 把 两者 结合 在 了 一起 ， 开发 出 了 这款 美轮美奂 的 高跟鞋 浴缸 . ( ShoeBathtub ) 。 这些 意大利 的 浴缸 的 表面 贴 有 马赛克 的 花纹 ， 看起来 就 像 极其 奢华 的 高跟鞋 ， 实在 是 太漂亮 了 ! 另外 ， 高跟鞋 的 这种 曲线 会 使得 使用者 倚靠 起来 非常 舒服 ， 而 普通 的 浴缸 感觉 要 差 一些 。 如果 你家 的 浴室 足够 大 ， 足够 高 ， 不妨 试试 这种 浴缸 。 需要 提醒 的 是 ， 男士 坐在 这种 浴缸 里 似乎 就 有点 大煞风景 了 。   
 家居 	 真实 和谐   自然 生动 ( 图 ) 东南亚 风格 的 居家 环境 是 许多 人 追求 的 梦想 之 家 ， 133 平 的 空间 ， 真实 和谐 ， 自然 生动 ， 在 不动声色 中 透露 出 一种 宁静 详 和 的 气氛 ， 实现 了 我们 对家 的 最初 向往 。 
 家居 	 真实 的 日式 风格 ( 图 ) 日式 风格 的 家装 ， 简单 但 实用 ， 率性 而 舒适 ， 来 这里 领略 真实 的 日式 风格 。 
 家居 	 真皮 与 冷峻 的 金属 做 了 搭配 ( 图 ) 前卫 作品 3 — — 皮沙发 细节 看点 — — 不 对称 扶手 在 材质 的 选择 上 ， 同样 是 将 细腻 的 真皮 与 冷峻 的 金属 做 了 搭配 ， 带给 人们 既 高贵 又 时尚 的 视觉 感受 。 而 它 最 吸引 人 的 魅力 之处 则 在于 两边 的 不 对称 扶手 — — 一边 继承 了 沙发 整体 略带 复古 情调 的 风格 ， 显得 协调 、 大气 ; 另一边 则 大胆 突破 ， 采用 了 极具 现代感 的 简洁 设计 ， 并 使用 金属 材质 ， 显得 别具一格 而 不 突兀 。 
 家居 	 眼前一亮 的 空间 实施 起来 ( 图 ) 放松 时间 这样 让 人 眼前一亮 的 空间 实施 起来 ， 需要 的 是 你 灵机一动 的 好 点子 ， 蓝色 的 乳胶漆 墙面 像 海面 一样 宁静 ， 空间 似乎 有些 单调 ， 选 一种 不太 张扬 的 红色 漆 ， 用 涂鸦 的 方式 在 墙上 画出 RELAX 的 图案 ， 作为 呼应 ， 踢脚线 也 涂刷 同样 颜色 的 漆 ， 最 精彩 的 是 找到 一款 同色 的 钟表 点缀 其间 ， 配 上 简洁 的 家具 、 配饰 ， 如同 海报 一样 的 画面 出现 了 ， 制造 一个 放松 而 趣味 横生 的 客厅 就是 这样 简单 。 给 你 窍门 墙纸 在 施工 时 ， 要 选择 干燥 的 天气 ， 白天 保持 通风 ， 晚上 关闭 门窗 防止 潮气 进入 ， 以 确保 粘接 的 牢度 及 表面 的 平整 。 用墙 漆 在 墙面 绘制 图案 时 ， 可 借助 美纹纸 把 图案 的 边缘 贴住 ， 这样 画出 的 图案 边缘 整齐 ， 也 不会 污染 到 墙面 其他 部分 。 软包 墙面 应 定期 清洁 ， 先 用 吸尘器 清理 ， 然后 在 有 污渍 的 地方 蘸上 专用 清洁剂 涂刷 ， 再用 干净 的 抹布 擦 去 泡沫 晾干 。 放松 时间 这样 让 人 眼前一亮 的 空间 实施 起来 ， 需要 的 是 你 灵机一动 的 好 点子 ， 蓝色 的 乳胶漆 墙面 像 海面 一样 宁静 ， 空间 似乎 有些 单调 ， 选 一种 不太 张扬 的 红色 漆 ， 用 涂鸦 的 方式 在 墙上 画出 RELAX 的 图案 ， 作为 呼应 ， 踢脚线 也 涂刷 同样 颜色 的 漆 ， 最 精彩 的 是 找到 一款 同色 的 钟表 点缀 其间 ， 配 上 简洁 的 家具 、 配饰 ， 如同 海报 一样 的 画面 出现 了 ， 制造 一个 放松 而 趣味 横生 的 客厅 就是 这样 简单 。 给 你 窍门 墙纸 在 施工 时 ， 要 选择 干燥 的 天气 ， 白天 保持 通风 ， 晚上 关闭 门窗 防止 潮气 进入 ， 以 确保 粘接 的 牢度 及 表面 的 平整 。 用墙 漆 在 墙面 绘制 图案 时 ， 可 借助 美纹纸 把 图案 的 边缘 贴住 ， 这样 画出 的 图案 边缘 整齐 ， 也 不会 污染 到 墙面 其他 部分 。 软包 墙面 应 定期 清洁 ， 先 用 吸尘器 清理 ， 然后 在 有 污渍 的 地方 蘸上 专用 清洁剂 涂刷 ， 再用 干净 的 抹布 擦 去 泡沫 晾干 。 
 家居 	 眼前 的 他 是 个 出色 的 设计师 ( 图 ) 罢了 ， 不再 用 年龄 决定 态度 。 眼前 的 他 是 个 出色 的 设计师 ， 是 这 所 出彩 儿 房子 的 主人 。   
 家居 	 着手 润色   发挥 软装 魅力 ( 图 ) 第二步 ：   着手 润色 ， 发挥 软装 魅力   前面 的 基础 工作 完成 了 ， 可以 考虑 为 房间 重新 粉刷 个性 的 色彩 ， 重新安排 家具 的 位置 ， 选择 适配 的 布艺 装饰 。 
 家居 	 矮 靠背 令 坐姿 更 丰富 ( 图 ) 4 . 矮 靠背 令 坐姿 更 丰富 有人 喜欢 在 沙发 上 发明 出 各种 慵懒 的 姿势 ， 这个 矮 靠背 ， 大 进深 的 款式 可以 任 人 发挥 。 . 软硬 适中 的 坐垫 ， 任 你 在 上面 来回 翻滚 ， 不会 觉得 疲惫 。 . 低矮 的 靠背 翻折 过去 ， 还 能 充当 摆放 物品 的 台面 。 
 家居 	 石膏 背景墙   贵妃 躺椅 似的 沙发 ( 图 ) 宽阔 的 空间 体现 出 别墅 在 空间 上 的 优势 ， 客厅 的 面积 是 一般 家庭 的 两三倍 ， 因此 可以 再 这里 进行 足够 的 风格 描绘 。 石膏 背景墙 ， 贵妃 躺椅 似的 沙发 ， 宫廷式 的 灯饰 ， 让 整个 客厅 呈现出 奢华 高贵 的 感觉 。 
 家居 	 砖墙 相触 部分 的 木质 梯板 ( 图 ) 阴与阳 ， 激发 了 人们 对 空间 探寻 的 乐趣 ， 从 与 砖墙 相触 部分 的 木质 梯板 ， 到 落脚 在 与 玻璃窗 相触 部分 的 水泥 梯板 ， 冷 与 暖 ， 硬 与 柔 ， 这 拾级而上 的 简单 动作 分明 也 是 在 阴与阳 的 转换 中 。 “ 永远 都 要 在 阳 的 位置 上 ， 关注 带有 多少 阴 的 爱情 。 ” 一个 诗意 的 人 ， 将 他 诗意 的话 献给 诗意 的 空间 。 
 家居 	 砖石 墙面 使 客厅 有 一种 粗犷 的 质感 ( 图 ) 设计师 还 为 砖石 壁炉 重新 添置 了 一个 白色 的 壁炉架 ， 摆上 了 镶框 的 镜子 ， 原本 陈旧 的 壁炉 一下 成为 房间 的 亮点 。 旁边 的 墙壁 用 有 特色 的 木雕 鱼饰 来 点缀 ， 增加 了 独特 的 质朴 感 ， 看起来 有 一种 自然 的 乡村 气息 。 设计师 保留 了 沙发 背后 的 砖石 墙面 ， 用 几幅 有 特色 的 挂画 和 木板 式 边桌 营造 出 美国 西部 的 牛仔 感 ， 将 舒适 与 个性 完美 地 结合 起来 。 
 家居 	 硕大 的 落地灯 让 人 眼前一亮 ( 图 ) 硕大 的 落地灯 让 人 眼前一亮 ， 体现 出 房间 主人 特立独行 的 个性 ， 也 增加 了 空间 氛围 的 趣味性 。 娇小 的 双人 位 黑色 沙发 上 搭配 抢眼 的 红色 大方 靠 包 ， 一份 独特 的 惬意 与 舒适 ， 缓和 了 书房 的 紧张 氛围 。 硕大 的 落地灯 让 人 眼前一亮 ， 体现 出 房间 主人 特立独行 的 个性 ， 也 增加 了 空间 氛围 的 趣味性 。 娇小 的 双人 位 黑色 沙发 上 搭配 抢眼 的 红色 大方 靠 包 ， 一份 独特 的 惬意 与 舒适 ， 缓和 了 书房 的 紧张 氛围 。 
 家居 	 确定 设计 思路 ( 图 ) 正文 ： 确定 设计 思路 花园 设计师 乔恩家 的 露台 面积 约 为 4.5 × 3.5 米 ， 为了 把 它 变成 房间 的 延伸 空间 ， 让 家人 可以 在 这里 享受 早餐 和 娱乐 ， 乔恩 利用 周末 时间 重新 布置 了 他家 的 露台 。 “ 我们 希望 露台 看起来 就 像是 房间 的 一部分 ， 清早 可以 在 这里 喝杯 咖啡 ， 看着 蝴蝶 和 小鸟 飞来飞去 。 ” 乔恩说 。 因为 露台 的 框架 早已 搭建 好 ， 最 简单 、 省钱 的 办法 就是 通过 布置 家具 、 饰品 和 盆栽 植物 营造 新 的 效果 。 
 家居 	 碎花 与 绿草 中 享受 大自然 的 美好 ( 图 ) 田园 风格 成为 现代人 喜爱 的 一种 风格 之一 ， 在 碎花 与 绿草 中 享受 大自然 的 美好 ， 是 都市 紧张 生活 一味 不可 欠缺 的 调和剂 。 下面 秀秀 时尚 达 人 如何 用 12 万 就 能 装点 出 美丽 的 都市田园 风格 的 房子 来 。 
 家居 	 碎花 图案   充满 浓浓的 少女 气息 ( 图 ) 编辑 点评 ： 碎花 图案 的 好处 在于 避免 了 色彩 的 大面积 视觉 冲击 ， 充满 浓浓的 少女 气息 。 搭配 白色 更显 柔和 ， 竖 条纹 窗帘 起到 向上 延伸 空间 高度 的 作用 。 
 家居 	 碎花 的 窗帘   地中海 风格 ( 图 ) 懒 人们 最 向往 的 调调 ， 大概 非 地中海 风格 莫属 了 。 慵懒 的 阳光 ， 温暖 的 色彩 ， 碎花 的 窗帘 ， 无不 显示 着 一个 浪漫 而 宁静 的 生活 状态 。 
 家居 	 磁铁 的 新衣 ( 图 ) 1 . 磁铁 的 新衣 黑色 的 磁铁 盒子 ， 放 一些 便 笺纸 、 留言 用 的 笔 再好不过 ， 只是 黑乎乎 的 外表 有些 太酷 。 长条 的 磁铁 ， 也 是 同样 的 问题 。 不如 给 它们 换上 新衣 ， 给 这个 角落 带来 鲜活 、 动人 的 新 气息 。 
 家居 	 磨砂玻璃 及米 白色 的 棉布 ( 图 ) 磨砂玻璃 及米 白色 的 棉布 均 是 半 透光 的 物料 ， 也 是 一道 把 室内 的 人造 光 与 室外 的 天然 日光 融合 一起 的 桥梁 。 
 家居 	 神奇 家居装饰   电线杆 造型 壁纸 ( 组图 ) 不同 颜色 的 背景墙 ， 渲染 出 截然不同 的 氛围 ， 当然 ， 就 可以 搭配 不同 风格 的 家具 。 这个 靠 大家 自己 感觉 了 ， 下面 有 提供 类似 的 方案 ， 不妨 参考 一下 。 
 家居 	 神秘 印度 风   贫民窟 的 百万富翁 的 故乡 ( 组图 ) 看 完 贫民 百万富翁 ， 对于 男主角 杰默 贫穷 坎坷 的 成长 故事 ， 还有 他 与 拉 提卡 深切 又 专一 的 爱情 ， 一定 赢得 不少 观众 的 热泪 ， 除了 感动 外 ， 另 一个 感想 就是 ～ 他 真的 是 个 超级 幸运星 啊 ～ 但 这里 请容 我 不谈 电影 ， 来 谈谈 杰默 的 故乡 印度 ， 认识一下 这 古老 传统 的 印度 文化 ， 会 如何 融入 室内设计 中 ! 
 家居 	 秀亨   竹筒 组成 写意 空间 ( 图 ) 仁者乐山 、 智者乐水 。 院间 的 另 一角 ， 寥寥 数笔 ， 形成 一个 修 生养 性 的 通灵 空间 。 搁置 着 一个 质朴 的 洗手 钵 ， 小小的 石钵 感觉 已经 存在 于 此 上 万年 。 滴水穿石 ， 是 业主 的 的 自我 勉励 。 至柔 之水尚 能克石 ， 足见 业主 对 世间 万物 的 思考 已 是 很 高层次 。 四周 撒满 了 大小 相间 圆润 的 卵石 加以 衬托 ， 禅意 盎然 ， 细小 的 水流 随着 竹管 流出 随即 轻声 滴落 ， 清脆 的 水滴 声 回荡 在 院间 ， 令 这个 角落 生机勃勃 。 洗手 钵 上方 栽种 了 八角 金盘 ， 叶形 奇特 ， 姿态 壮丽 ， 叶色 浓绿 ， 树干 和 竹制品 形成 材质 上 的 对比 ， 秀亨 、 竹筒 组成 写意 空间 ， 令人 沉思 --- 偷 的 浮生 半日闲 。 
 家居 	 秋冬 5 款 床品   解读 新 古典 ( 组图 ) 新花 新 切片 新古典主义 中西 复古 调中 致敬 浪漫 代表 品牌 ： 富安娜 设计师 ： 李红 野性 混 搭 柔美 ， “ 豹纹 ” 组合 “ 花卉 ” ， 是 今年 秋冬 富安娜 新品 中 最富 视觉 冲击力 的 系列 。 “ 埃及 诱惑 ” 套装 中 ， 同 一套 床上用品 中 ， 出现 了 两种 截然不同 风格 的 图案 ， 双面 色彩 混 搭 ， 其中 一面 是 色彩 丰富 的 欧式 古典 繁花 ， 另外 一面 的 纹理 则 是 狂野 豹纹 。 配套 的 床单 、 床笠 或者 枕头 ， 也 做 同样 的 组合 搭配 ， 洋溢着 富丽 而 散乱 的 浪漫 。 咖啡色 主色调 ， 衬托 红 与 金 ， 表面 的 纹理 充满 韵律感 。 风格 上 呈现出 怀旧 的 古典主义 ， 但 细节 搭配 更 富于 层次 和 变化 。 多层次 立体化 的 特点 ， 也 同样 表现 在 另外 的 “ 藏蓝 ” 的 翡冷翠 系列 里 。 
 家居 	 秋季 换新装   从 床品 开始 ( 组图 ) 民族 风是 本季 的 流行 元素 ， 特别 是 华丽 的 波斯 风情 。 繁复 细密 的 图案 来源于 植物 ， 所以 整体 风格 是 自然化 的 ， 非常 符合 现代人 的 审美 。 这种 风格 很 华丽 ， 颜色 搭配 大胆 ， 视觉效果 突出 。   这种 风格 可以 为 清淡 的 简约 卧房 制造 视觉 焦点 ， 也 可以 为 欧美 混搭风 画龙点睛 ， 是 非常 出色 的 风格 。 
 家居 	 积极 做 着 这样 的 公益事业 ( 图 ) 18 年 的确 是 一段 很 长时间 ， 如果 不数 的话 ， 我 几乎 忘 了 已经 认识 杨澜 这么久 ， 而 我 也 同样 经过 了 漫长 的 旅程 。 采访 定 在 她 从 四川 回来 之后 ， 积极 投身于 建立 汶川 大 地震 孤儿 救助 专项基金 的 这段 日子 。 令 我 没有 想到 的 是 ， 她 坦诚 地 告诉 我 ： 虽然 积极 做 着 这样 的 公益事业 ， 虽然 很为 那里 的 孩子 揪心 ， 但 她 还是 要 避免 相关 传媒 的 同类 信息   传播 — — 因为 感到 从 灾区 回来 后 ， 她 的 心理 已经 到达 一个 界限 。 
 家居 	 稀有 的 中式 古董 ( 图 ) 不久前 我 买 了 件 稀有 的 中式 古董 — — 是 清代 手工 制作 的 屏风 。 现在 已经 不多见 ， 但是 保存 得 很 完好 ， 非常 精致 。 一面 是 皂 石板 和 画框 ， 另一面 是 丝绸 刺绣 。 真是 很漂亮 ， 让 人 爱不释手 。 那时 我 正在 装饰 房子 ， 就 买下来 了 。 它 成为 装修 的 核心 ， 所有 的 设计 围着 它 转 ， 家具 和 墙纸 也 选 了 与 它 搭配 的 。 
 家居 	 稳重 大方 又 浪漫 的 时尚 两居 ( 图 ) 稳重 大方 又 浪漫 的 时尚 两居 ， 带有 一点 田园 味道 的 温馨 小窝 。 在 小小的 阅览 区 ， 可以 和 私密 的 朋友 可以 聊聊天 。 主人 偏爱 简单 大方 又 略微 偏 中性 的 设计 风格 ， 所以 这是 一个 男女 都 会 喜欢 的 家 。 
 家居 	 空姐 应该 更加 注重 个人 形象 ( 图 ) 所谓 的 偏执 是 什么 ? 是 对 一种 理念 的 认真 ， 对 一种 风格 的 认同 ， 对 寻找 感觉 相投 的 设计师 的 锲而不舍 ， 对 合作者 的 完全 信任 ， 更是 对 自己 所 选择 的 坚信不移 。 王小姐 的 装修 经历 完全 印证 了 “ 偏执 ” 的 价值 。   
 家居 	 空白 墙壁 上 的 画作 ( 图 ) 4 .   空白 墙壁 上 的 画作 一片空白 的 墙壁 ， 一般 的 做法 是 挂画 或者 涂刷 颜色 和 铺 贴 壁纸 ， 造型 特异 的 搁架 ， 仿佛 一幅 画作 ， 能 带来 与众不同 的 装饰 效果 。 
 家居 	 空调 吹 了 一段时间   难免会 堆积 灰尘 ( 图 ) 餐厅   空调 吹 了 一段时间 ， 难免会 堆积 灰尘 ， 所以 若 饭厅 里 的 空调 直吹 餐桌 ， 是 很 有 可能 让 灰尘 伴随 着 风 而 掉落在 热腾腾 的 食物 里 ， 当然 也 更 容易 让 桌上 美味 的 餐点 凉掉 ， 所以 饭厅 里 的 空调 最好 不要 在 餐桌 的 上方 或 附近 。 
 家居 	 空间 产生 呼吸 流动 的 感觉 ( 图 ) 客厅 与 卧室 中 的 七扇 推拉 隔扇 ， 直 插入 光带 的 开槽 中 ， 空间 内 失去 灭点 ， 视觉 上 便 产生 了 上升 感 ， 并 影射 到 人 的 内心 ， 感觉 空间 因此 而 提升 了 高度 。 运用 透视 的 原理 ， 利用 线来 体现 空间 的 高度 和 深度 ， 是 学习 油画 的 设计师 所 擅长 的 。 而 灵活 的 推拉 挪移 ， 如同 变换 的 摄影机 位 ， 切分 着 不同 的 生活 场景 。 回味 起来 ， 映 在 白色 墙壁 前 线条 平直 极简 的 隔扇 ， 真如 条形码 一般 ， 是 辨识 戴 国君 设计 的 绝对 符号 。 
 家居 	 空间 兼顾 功能 与 美学 ( 图 ) 为 适应 地中海 家居 宽广 悠远 的 感觉 ， 小米 在 空间 改造 上动 了 “ 干戈 ” ： 在 原来 客厅 与 餐厅 连通 的 开放式 的 大 空间 里 ， 运用 加法 ， 在 户门 入口处 几 平方米 的 地方 加盖 了 一个 拱形 门廊 ， 分隔 出 玄关 和 客厅 ； 在 客厅 与 餐厅 中间 ， 也 加建 了 一道 墙体 ， 在 两旁 分别 开出 一个 小 拱门 ， 拱门 是 典型 的 地中海 家居 元素 之一 ， 令 空间 更显 天然 、 浪漫 ， 然后 他 又 将 原来 的 厨房 改成 卫生间 ， 将 原来 的 卫生间 改成 开放式 厨房 ， 厨房 紧连 着 户外 的 庭院 ， 光线 更 充足 ， 更 有 法式 乡村 风味 ； 而 厨房 与 餐厅 的 过渡 ， 就 以 那 几条 自然 粗犷 的 木柱 框出 门廊 ； 二楼 也 同样 做 了 不少 变动 ， 原来 走廊 上 的 第一个 房间 打通 成 开放式 的 会客 偏厅 ， 原来 的 浴室 改成 衣帽间 ， 原来 的 套房 内 的 衣帽间 就 变身 成为 浴室 ， 连带 将 阳台 也 打通 ， 这样一来 室内 光线 更显 明媚 ， 视觉 上 更 通透 ， 更 统一 ， 各个 空间 既相 牵系 亦 各自 独立 ， 更 有 层层 递进 的 视觉 惊喜 ， 功能 与 美学 珠联璧合 。 
 家居 	 空间 始终 具有 新鲜感 ( 图 ) 客厅 和 餐厅 里 的 画作 ， 冯晓勇会 不定期 地 更换 ， 以 确保 空间 始终 具有 新鲜感 。 同样 ， 主人 的 卧室 和 孩子 们 的 睡房 也 缺 不了 装饰画 。 大 女儿 的 房间 整体 是 粉红色 的 ， 墙上 那幅 蓝色 主调 的 画 既 是 装饰 ， 也 是 组成 整体 空间 色调 的 不可或缺 的 巧妙 对比 。 相比之下 ， 主卧 背景 墙上 的 那幅 小画 就算 是 冯晓勇 最 喜欢 的 了 。 紫色 系 的 拼贴 画 忧郁 、 深邃 ， 简单 的 色块 与 线条 勾勒 出 一个 梦幻般 的 世界 ， 卧室 所 特有 的 温情 气质 由此 得到 了 升华 。 其实 ， 对于 冯晓勇 来说 ， 选择 什么样 的 画 ， 放在 哪里 ， 这些 都 不 重要 ， 重要 的 是 有 一颗 热爱生活 的 心 。 在 他 的 理解 中 ， 艺术 并 不 只 存在 于 博物馆 或 美术馆 。 艺术家 从 生活 中 汲取 灵感 ， 并用 不同 的 手段 表现 出来 。 所以 说 ， 只要 是 自己 喜欢 的 ， 都 可以 拿来 装饰 自己 的 家 ， 毕竟 ， 这 都 算是 生活 的 一部分 。 小窍门 如果 房型 基本 合理 ， 就 没有 必要 大动干戈 改变 格局 ， 家居设计 的 重点 应是 通过 色彩 、 材料 、 家具 等 软 装饰 来 增加 空间 的 个性 和 气氛 。 与 墙面 、 天花板 、 地面 等 这些 “ 硬装 ” 相比 ， 家具 陈设 就算 是 一种 颇具 个性 的 软 装饰 项目 了 。 要 知道 ， 家具 的 风格 同样 能够 塑造 空间 气氛 ， 各种 装饰品 的 选择 当然 也 要 考虑 到 与 整体 风格 相 协调 。 使用 鲜艳 或 对比 强烈 的 色彩 不要 太 保守 ， 只要 处理 得当 ， 家 的 个性 就 来源于 此 。 可以 在 相邻 的 两面 墙 使用 例如 黑 、 白等强 对比色 。 但是 要 注意 区分 色彩 的 主次 与 面积 。 孩子 们 的 房间 的 色彩 可以 由 他们 自己 选择 ， 装饰 风格 也 不必 太过 拘泥 ， 让 他们 DIY 自己 的 房间 岂 不是 充满 了 童趣 ？ 
 家居 	 空间 是 建筑 的 主角 ( 图 ) 白色 是 最 简单 、 最 单纯 的 颜色 ， 它 吸纳 一切 、 包容 一切 ， 它 简单 到 极致 ， 也 丰富 到 极致 ， 它 最能 被 光影 色彩 赋予 及 为 丰富 的 变化 ， 这样 美妙 的 空间 组合 ， 让 居住 在 这里 的 人 沉静 在 如梦如幻 的 世界 中 。 
 家居 	 空间 显出 苍白 平淡 的 氛围 来 ( 图 ) 装修 基调 为 白色 的 空间 ， 能 使 空间 的 视觉 感 扩大 ， 带来 清爽 干净 的 感觉 ； 但 过 多 的 白色 也 容易 让 人 视觉 疲劳 ， 空间 显出 苍白 平淡 的 氛围 来 。 白色 为底 会 给 空间 的 装饰 留有 很多 余地 ， 保持 格局 、 大 家具 不变 的 情况 下 ， 调动 各种 装饰 手法 和 手段 ， 让 空间 瞬时 变得 灵动 起来 。 
 家居 	 空间 添加 了 经典 的 磨损 风格 ( 图 ) 独特 的 橱柜门 为 空间 添加 了 经典 的 磨损 风格 。 功能性 的 厨房 岛 较 新 同时 使用 大面积 的 工作 台面 。 
 家居 	 空间 留给 自己 的 身体 做 运动 ( 图 ) “ 空中 健身房 ” 如果 你 的 阁楼 足够 宽敞 ， 不妨 将 这里 的 空间 留给 自己 的 身体 做 运动 。 台球桌 、 跑步机 、 还有 各种 在 健身房 里 才 看 得到 的 器械 ， 统统 搬 回家 。 如果 你 向往 大自然 的 清新 氛围 ， 可以 再 为 这片 健身 空间 点缀 些 郁郁葱葱 的 植物 。 拥有 了 这样 一个 美丽 的 私人 “ 空中 健身房 ” ， 整日 忙于 工作 的 你 应该 不会 再 对 健身 偷懒 了 吧 ？ 
 家居 	 空间 的 实用 派 装饰 ( 图 ) 空间 的 实用 派 装饰 立体 书架 的 出现 无疑 将 空间 的 利用率 大大提高 ， 读物 、 相框 、 CD 统统 都 能 收纳 其中 ， 实用 而 充满 装饰 趣味 。 有些 童趣 的 钟表 上 ， 彩色 的 数字 指针 可以 随意 摆放 ， 透出 现代 都市人 享乐 自由 的 风格 ， 同时 增加 了 空间 的 层次感 。 
 家居 	 空间 的 颜色 是 镇静 与 稳重 ( 图 ) 3 . 如果 空间 的 颜色 是 镇静 与 稳重 的 ， 那么 置 之 其中 的 装饰 元素 必须 是 充满 个性 与 设计 感 的 ， 在 这个 居室 中 的 家具 线条 非常 得 流畅 和 干练 ， 这 与 空间 整体 的 现代 时尚 风格 融为一体 。 
